rank,name,artists,spotify_id,album,duration_ms,explicit,popularity,added_at
44,WILDFLOWER,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h,HIT ME HARD AND SOFT,261466,False,96,2025-06-30T00:54:28Z
45,Backup Plan (feat. Luke Combs),"Bailey Zimmerman, Luke Combs",58is1MxJ0mafkdwalyYanU,Backup Plan (feat. Luke Combs),181518,False,83,2025-06-30T00:54:28Z
46,No One Noticed,The Marías,3siwsiaEoU4Kuuc9WKMUy5,Submarine,236906,False,93,2025-06-30T00:54:28Z
47,Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",0QCIpQV3twfqo9kh0t8Zza,Shake It To The Max (FLY) (Remix),178775,True,95,2025-06-30T00:54:28Z
48,Cry For Me,The Weeknd,3AWDeHLc88XogCaCnZQLVI,Hurry Up Tomorrow,224136,True,87,2025-06-30T00:54:28Z
49,squabble up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,GNX,157992,True,87,2025-06-30T00:54:28Z
50,Happen To Me,Russell Dickerson,64KV9vjChfN2w9vA4j7A2K,Happen To Me,183615,False,81,2025-06-30T00:54:28Z
51,OWA OWA,Lil Tecca,5E3XPRJVgYnxhMAFI7nZ7N,OWA OWA,132380,True,86,2025-06-30T00:54:28Z
52,Hard Fought Hallelujah (with Jelly Roll),"Brandon Lake, Jelly Roll",4cLC8gydI0O78g8chZugS4,Hard Fought Hallelujah (with Jelly Roll),316002,False,74,2025-06-30T00:54:28Z
53,After All The Bars Are Closed,Thomas Rhett,0oBbkZuDLkT8DY9DK67kfr,After All The Bars Are Closed,191839,False,76,2025-06-30T00:54:28Z
54,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",2kZoOj1n5vk9BuF0sih58M,$ome $exy $ongs 4 U,182767,True,83,2025-06-30T00:54:28Z
55,Bloodline (with Jelly Roll),"Alex Warren, Jelly Roll",0qmhTHMVxnXRmT5N92wTD9,Bloodline (with Jelly Roll),182008,False,92,2025-06-30T00:54:28Z
56,Typa,GloRilla,08L2vgqPpiLt7PpwMHbbk1,Typa,124137,True,76,2025-06-30T00:54:28Z
